rgn_id,impact,value,rgn_label,m49_code,iso3c,georgn,geosubrgn,cells,region
49,ssp585_medium-term,123.69071784988046,Sudan,729,SDN,Africa,Northern Africa,148,coast
49,ssp585_near-term,86.76272412668914,Sudan,729,SDN,Africa,Northern Africa,148,coast
50,ssp245_current,308.0303695870098,Saudi Arabia,682,SAU,Asia,Western Asia,756,coast
50,ssp245_medium-term,545.0605168442708,Saudi Arabia,682,SAU,Asia,Western Asia,756,coast
50,ssp245_near-term,456.1151412423933,Saudi Arabia,682,SAU,Asia,Western Asia,756,coast
50,ssp585_current,318.1647238461301,Saudi Arabia,682,SAU,Asia,Western Asia,756,coast
50,ssp585_medium-term,607.2097937399521,Saudi Arabia,682,SAU,Asia,Western Asia,756,coast
50,ssp585_near-term,447.7486385961529,Saudi Arabia,682,SAU,Asia,Western Asia,756,coast
51,ssp245_current,12.823926341719925,Kuwait,414,KWT,Asia,Western Asia,72,coast
51,ssp245_medium-term,32.09129239898175,Kuwait,414,KWT,Asia,Western Asia,72,coast
51,ssp245_near-term,16.68002976384014,Kuwait,414,KWT,Asia,Western Asia,72,coast
51,ssp585_current,14.975114012602717,Kuwait,414,KWT,Asia,Western Asia,72,coast
51,ssp585_medium-term,36.91079190187156,Kuwait,414,KWT,Asia,Western Asia,72,coast
51,ssp585_near-term,16.89076857501641,Kuwait,414,KWT,Asia,Western Asia,72,coast
52,ssp245_current,12.114021551795304,Bahrain,48,BHR,Asia,Western Asia,44,coast
52,ssp245_medium-term,24.41277153789997,Bahrain,48,BHR,Asia,Western Asia,44,coast
52,ssp245_near-term,13.064397105947137,Bahrain,48,BHR,Asia,Western Asia,44,coast
52,ssp585_current,12.480032014660537,Bahrain,48,BHR,Asia,Western Asia,44,coast
52,ssp585_medium-term,28.817546546459198,Bahrain,48,BHR,Asia,Western Asia,44,coast
52,ssp585_near-term,13.155349861830473,Bahrain,48,BHR,Asia,Western Asia,44,coast
53,ssp245_current,77.77805395424366,Pakistan,586,PAK,Asia,Southern Asia,228,coast
