stockid,stocklong,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NSHRIMPCSCH,Nylon shrimp Central-Southern Chile,24000,20300,15200,11200,10500,13200,18100,23800,30700,37000,43200,48300,52000,54000,55100,56600,56200,54400,51400,47000,42300,37900,NA,NA,NA,NA,NA,NA
NSHRIMPNCH,Nylon shrimp Northern Chile,21400,21900,22400,21400,21200,17900,15600,14300,13800,14100,14100,14400,14300,14100,13500,12900,12900,12900,13000,12800,12900,13000,NA,NA,NA,NA,NA,NA
NZLINGESE,Ling Southeast Australia,9680,9510,9260,9360,9180,8270,7590,7100,6520,5840,5320,4730,4260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZLINGLIN6b,Ling New Zealand Areas LIN 6b,14100,14400,14700,14700,14300,13300,12000,11000,10300,9540,9390,9520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZLINGLIN72,Ling New Zealand Areas LIN 72,6670,6840,6940,7060,7000,6990,6920,6830,6640,6280,5930,5720,5590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZLINGLIN7WC,Ling New Zealand Areas LIN 7WC-WCSI,76400,75700,74700,73900,72500,71300,69900,69500,69700,72600,79600,86700,92100,96400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZLINGWSE,Ling Western half of Southeast Australia,15000,16300,17000,17400,16700,15900,14900,13500,12000,10700,9500,8470,7760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OFLOUNECS,Japanese flounder East China Sea,3630,3650,3270,2880,2670,2750,2790,2920,3140,3240,3290,3650,3630,3610,3490,3490,3430,3410,3170,NA,NA,NA,NA,NA,NA,NA,NA,NA
OFLOUNNSJ,Japanese flounder Sea of Japan North,NA,NA,NA,NA,2320,2320,2400,2370,2470,2440,2510,2750,2780,2710,2490,2530,2290,2080,2210,NA,NA,NA,NA,NA,NA,NA,NA,NA
OFLOUNPAC,Japanese flounder Pacific Ocean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4030,3140,4250,4420,3270,4750,7190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OFLOUNSETO,Japanese flounder Inland Sea of Japan,2830,2860,2820,2940,2870,2710,2690,2660,2610,2710,2680,2640,2520,2400,2220,2180,2180,2180,2170,NA,NA,NA,NA,NA,NA,NA,NA,NA
OROUGHYCASCADE,Orange roughy Cascade Plateau,86800,86800,85900,84800,83300,81800,80300,79000,77700,76300,75000,74000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OROUGHYCH,Orange roughy Chile,NA,NA,NA,NA,31200,30500,29300,27300,25500,24400,23100,22600,22500,22800,23100,23300,23600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OROUGHYSE,Orange roughy Southeast Australia,60000,60200,60800,61400,62100,62800,63500,64200,65100,66700,68200,69600,71100,72900,74600,76100,77700,79100,80500,NA,NA,NA,NA,NA,NA,NA,NA,NA
PACBTUNA,Pacific bluefin tuna Pacific Ocean,94279,96463,90349,95977,92232,76795,78052,76110,68707,66433,55778,43912,43765,39646,35135,38053,38901,41058,49383,47864,52725,62069,71228,82212,NA,NA,NA,NA
PANCHCCH,Peruvian anchoveta Central Chile,514690,315370,184510,279730,242910,187260,112390,144190,313650,287850,253730,337220,263470,213770,234720,206670,316500,282010,217640,155130,102500,157760,193290,229320,383360,538270,NA,NA
PANCHCSCH,Peruvian anchoveta Central-Southern Chile,NA,NA,1557700,380750,669670,502520,647350,759600,1805300,1667000,1735700,1675600,1551300,1089100,795160,433410,228700,145380,163950,206620,214120,290990,450090,415500,581470,824040,NA,NA
PANCHNCHSP,Peruvian anchoveta Northern Chile Southern Peru,4574700,3497100,3029100,1503600,1995100,3023300,1196700,1352200,1316900,2387600,2572100,1662900,2412200,1234600,1087600,1608600,2484400,963050,1315700,1660200,988240,547400,1535100,1600500,2069000,NA,NA,NA
PANCHPERUNC,Peruvian anchoveta North-Central Peruvian coast,7600000,7240000,10400000,4090000,6070000,10200000,12200000,11200000,9680000,12200000,13800000,8670000,10100000,11800000,8820000,8780000,11500000,10300000,13100000,6640000,10200000,NA,NA,NA,NA,NA,NA,NA
PANDALGOM,Northern shrimp Gulf of Maine,27289,20485,15053,14140,14115,16472,12115,43817,19209,13670,25381,45698,46260,40863,33824,39775,19828,7779,3535,5050,4303,6668,2495,2592,2096,2728,NA,NA
PANDALIIIaW-IVaE,Northern shrimp ICES 3a(west)-4a(east),38900,38200,41200,37900,31500,30800,30300,36700,41900,44400,40900,43300,46300,44000,34200,23800,18300,17900,19000,29400,NA,NA,NA,NA,NA,NA,NA,NA
PANDALSFA13-15,Northern shrimp Eastern Scotian Shelf (SFA 13-15),23600,29200,26400,32500,36600,31900,25000,20800,28100,48400,44400,37800,38400,30900,45400,37200,30500,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANDALSFA5,Northern shrimp Shrimp Fishing Area 5,NA,152000,128000,86000,106000,NA,249000,NA,NA,186000,NA,188000,NA,159000,NA,179000,176000,176000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANDALSFA6,Northern shrimp Shrimp Fishing Area 6,NA,500000,429000,462000,523000,577000,654000,606000,600000,657000,673000,895000,758000,635000,404000,360000,483000,395000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANDALSMA16,Ocean shrimp Shrimp Management Area 16,NA,NA,NA,114,91.8,119,108,154,75.5,78.2,NA,NA,90,315,332,113,94.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANDALSMA18-19,Ocean shrimp Shrimp Management Areas 18 and 19,NA,NA,NA,137,235,785,144,196,NA,29.1,NA,100,201,285,50.9,19.1,55.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANDALSMAGTSE,Ocean shrimp Shrimp Management Area GTSE,NA,NA,NA,614,257,248,582,447,428,379,NA,NA,374,200,227,375,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANDALSMAPRD,Ocean shrimp Shrimp Management Area PRD,NA,NA,NA,848,2080,704,1030,638,978,554,1030,1160,1050,1410,1600,1150,1210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PATCODARGS,Patagonian cod Southern Argentina,167828,159834,155016,152261,142141,131007,120926,121568,123103,121330,120104,120717,120732,117171,111404,105811,102450,99508,97424,94830,95019,95840,97137,100700,104539,108844,NA,NA
PATGRENADIERCH,Patagonian grenadier Central-Southern Chile,1765130,1814960,1475770,1780500,1582880,1186700,1116530,995431,805694,685146,606018,570176,516131,508523,516511,457452,399260,368243,326601,288632,250220,230338,231256,267743,313654,359318,NA,NA
PATGRENADIERSARG,Patagonian grenadier Southern Argentina,670763,746843,963984,1154050,1184420,1217950,1141520,1035820,1019270,935893,858248,799935,716724,651533,558551,523735,498522,462846,469288,483548,455234,465986,604235,686905,NA,NA,NA,NA
PAUAPAU5B,Paua New Zealand Area PAU 5B (Stewart Island),1240,1200,1140,1100,1090,1110,1170,1290,1420,1510,1550,1560,1570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAUAPAU5D,Paua New Zealand Area PAU 5D (Otago),822,778,736,697,645,599,548,485,429,406,396,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCEELARGS,Pink cusk eel Southern Argentina,210000,187000,165000,154000,144000,135000,135000,133000,133000,134000,138000,131000,121000,114000,102000,101000,99300,90900,91600,NA,NA,NA,NA,NA,NA,NA,NA,NA
PCEELCSCH,Pink cusk eel Central-Southern Chile,27444,27655,27413,26615,25161,23273,21895,20460,19926,19015,17434,17961,17461,17001,17123,16264,15554,15890,16089,16440,17168,17362,17957,18956,20841,23267,NA,NA
PCEELSCH,Pink cusk eel Southern Chile,13038,12136,12062,11799,11503,11184,10636,10805,10119,9645,8918,8446,7605,6609,5858,5026,4612,4559,4404,5154,6056,6883,7878,9122,10478,11983,NA,NA
PCOD5ABCD,Pacific cod British Columbia Waters Area 5ABCD,14628.815,14424.012,14219.209,5927.966,7710.3105,9492.655,9871.732,14356.361,16690.496,16869.973,14906.59,13334.7725,11762.955,11751.16,15161.235,18571.31,18856.1385,19140.967,17368.855,16576.355,15783.855,14304.206,12824.557,13793.759,15687,NA,NA,NA
PCODAI,Pacific cod Aleutian Islands,115523,99006,84851,90024,95513,101336,90981,81684,80983,80289,78401,76558,72371,68412,64670,61133,61661,62193,66775,71694,75519,79548,80120,80696,NA,NA,NA,NA
PCODBS,Pacific cod Bering Sea,1300000,1240000,1160000,1050000,1070000,1110000,1130000,1150000,1120000,1050000,929000,807000,703000,668000,723000,841000,1060000,1200000,1320000,1490000,1670000,NA,NA,NA,NA,NA,NA,NA
PCODGA,Pacific cod Gulf of Alaska,834000,813000,797000,774000,735000,676000,641000,638000,635000,609000,566000,532000,503000,522000,565000,646000,708000,718000,689000,677000,640000,NA,NA,NA,NA,NA,NA,NA
PCODNPAC,Pacific cod North Pacific,NA,13100,35800,65100,65700,46100,31200,20500,33500,31800,53100,51900,53100,32100,33800,38800,63900,118000,279000,267000,NA,NA,NA,NA,NA,NA,NA,NA
PCODWCVANI,Pacific cod West Coast of Vancouver Island,12524.851,10586.481,8648.111,4249.50275,6299.701375,8349.9,10437.3755,12524.851,14612.326,13121.272,12077.5345,11033.797,8648.111,6858.8467,12524.851,18190.855,20874.752,19383.697,18190.855,20576.541,24453.281,25347.912,21918.489,18489.066,16817,NA,NA,NA
PERCHEBSAI,Pacific ocean perch Eastern Bering Sea and Aleutian Islands,487000,492000,498000,504000,522000,529000,550000,563000,597000,611000,630000,643000,655000,658000,656000,654000,646000,633000,619000,598000,NA,NA,NA,NA,NA,NA,NA,NA
PERCHHG,Pacific Ocean perch Haida Gwaii,92973.055,88095.05,82574.28,77050.74,72501.51,67949.5,63725.344,59172.41,53975.797,50396.246,46496.242,43567.77,41285.754,40948.645,42882.457,44815.34,45125.613,45762.812,43805.87,44765.375,44753.348,46038.85,47272,NA,NA,NA,NA,NA
PERCHWCVANI,Pacific ocean perch West Coast of Vancouver Island,10800,10600,10800,11600,12400,13000,13400,13500,13800,13800,13900,13900,14200,15000,15800,16400,16500,16400,16400,NA,NA,NA,NA,NA,NA,NA,NA,NA
PGEODWA,Pacific geoduck Washington,74800,60600,62300,57800,73800,75100,76800,76200,80900,80000,82000,83400,83100,82400,82100,85400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHAKEPCOAST,Pacific hake Pacific Coast,2819860,2697655,2557455,2107840,2089260,3864850,4030750,4398150,3743935,3084315,2487520,2172550,1722560,1755350,1523900,2019240,2558385,3175670,3644590,3739020,3138510,3344850,3657770,3557240,NA,NA,NA,NA
PHALNPAC,Pacific halibut North Pacific,NA,353000,367000,346000,339000,312000,274000,241000,209000,183000,160000,140000,121000,107000,92500,84500,79700,76700,76600,77000,NA,NA,NA,NA,NA,NA,NA,NA
PHFLOUNSOJ,Pointhead flounder Sea of Japan,NA,NA,12600,13500,13700,11200,8970,7580,6010,5760,7700,8880,11500,10400,8310,9200,9120,8410,8850,NA,NA,NA,NA,NA,NA,NA,NA,NA
PILCHPJPN,Japanese sardine Pacific Coast of Japan,756000,805000,916000,727000,701000,411000,305000,157000,121000,109000,87000,131000,112000,99000,129000,338000,471000,534000,666000,1211000,1635000,2100000,2647000,3137000,3415000,NA,NA,NA
PILCHTSST,Japanese sardine Tsushima Strait,607000,224000,88000,76000,60000,11000,5000,5000,4000,6000,18000,27000,49000,57000,75000,160000,229000,257000,249000,202000,254000,268000,263000,293000,329000,NA,NA,NA
PLAIC2123,European plaice Subdivisions 21-23,NA,NA,NA,NA,7143,8334,8896,8657,7749,7104,6782,6453,5895,5551,5392,5853,6891,7945,9078,9862,10381,11022,12156,14245,NA,NA,NA,NA
PLAIC7d,European plaice Eastern English Channel,10600,12400,10800,11900,9740,7320,8380,8650,7100,7550,6110,6170,6540,7700,6410,9230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLAICCELT,European plaice Celtic Sea,2268,2159,2247,2210,2019,1693,1539,1489,1470,1388,1256,1335,1745,1828,1962,2487,3326,4533,5614,6208,6597,7251,7898,7961,7515,NA,NA,NA
PLAICECHW,European plaice Western English Channel,4900,4950,6450,5900,4990,4830,4480,4950,4280,4900,4590,3920,3620,4010,3360,6130,6220,5940,6730,NA,NA,NA,NA,NA,NA,NA,NA,NA
PLAICIS,European plaice Irish Sea,7919.215741,8636.612923,9282.337203,9628.853231,10726.89741,11071.09751,12809.11781,14414.65771,16374.48273,16124.24016,15838.52151,15617.30271,11330.47159,12837.41514,11890.07237,13350.83249,15186.52095,11052.02845,14547.16074,14681.22419,17906.9687,25409.39254,18972.03559,19349.84477,NA,NA,NA,NA
PLAICNS,European plaice North Sea,341546.6088,314804.9336,367948.4028,384233.3044,378728.1592,351957.2717,355446.5991,387975.3812,408991.8615,427071.162,406461.6513,455715.0923,473291.2838,584863.4929,700118.4841,811510.6611,826382.793,883013.0508,994917.432,1131239.391,982836.969,1042252.48,1123649.424,1087280.118,NA,NA,NA,NA
POLL5YZ,Pollock Gulf of Maine / Georges Bank,96500,110000,123000,132000,146000,157000,174000,197000,228000,235000,238000,249000,235000,240000,210000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POLLFAPL,Saithe Faroe Plateau,117909,108907,123654,133441,161779,212017,274900,278009,269684,261198,253626,230238,189447,180477,140799,132760,125666,108503,95683,96125,102293,105883,105391,91056,100381,104021,192554,NA
POLLIEG,Saithe Iceland Grounds,153000,149000,156000,154000,133000,144000,163000,221000,281000,322000,287000,313000,284000,254000,228000,229000,236000,246000,260000,266000,267000,306000,NA,NA,NA,NA,NA,NA
POLLNEAR,Saithe North-East Arctic,590750,684019,725368,802304,806750,828281,890268,1031417,1006522,1024250,1100766,945673,886965,735530,679141,699993,590297,600392,617206,654209,641337,812806,905925,909053,NA,NA,NA,NA
POLLNS-VI-IIIa,Saithe ICES 3a-4-6,448988,429939,446762,393673,383414,404937,453786,483538,431140,487469,475009,503276,471003,446542,407859,408837,365080,367048,367650,365189,376034,395714,419861,383325,NA,NA,NA,NA
POPERCHGA,Pacific ocean perch Gulf of Alaska,258000,271000,281000,290000,300000,311000,323000,338000,352000,368000,382000,394000,401000,412000,423000,436000,444000,453000,459000,464000,462000,NA,NA,NA,NA,NA,NA,NA
POPERCHPCOAST,Pacific ocean perch Pacific Coast,65585.4,66380.6,67446.3,68656.5,69350.7,69911.7,70472.7,72483.4,76419.5,79292.2,81728.3,83613,85358.3,86308.1,86803.2,86769.2,98173.2,103709,109254,115075,119187,124995,128529,NA,NA,NA,NA,NA
PSOLEPCOAST,Petrale sole Pacific Coast,5830,6130,6330,6220,6410,6670,7380,8060,8570,9180,9270,8450,8240,7860,8240,9090,12200,15100,17400,18600,19400,NA,NA,NA,NA,NA,NA,NA
PTOOTHFISHCH,Patagonian toothfish South Chile Argentina,116810,108320,107860,104810,99932,94157,88685,86621,82989,79879,76386,73172,71526,70189,69254,68181,66563,64802,63501,64165,66938,67919,68705,69475,69644,NA,NA,NA
PTOOTHFISHMI,Patagonian toothfish Macquarie Island,8010,6860,6250,6020,5990,6070,6190,6370,6540,6380,6520,6440,6370,6280,6100,6170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTOOTHFISHPEI,Patagonian toothfish South Africa Subantarctic Prince Edward Islands,59026,59383,59431,35093,31832,29648,26584,25712,24854,23988,23241,22585,22025,21364,20831,20406,19861,19299,18823,18456,18105,17819,17797,18079,18219,NA,NA,NA
QUAHATLC,Ocean quahog Atlantic Coast,3278840,3260000,3234190,3213090,3194050,3176370,3162170,3147930,3135610,3126270,3122830,3128620,3139720,3154130,3170180,3187620,3205130,3224030,3240820,3257400,3272450,3287300,NA,NA,NA,NA,NA,NA
RBRMECS,Red seabream East China Sea,18200,18400,18400,17600,17100,16200,15900,15700,15100,15600,16300,17200,17500,17300,17200,16900,16600,15300,14200,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBRMSETOE,Red seabream Inland Sea of Japan (East),2610,2710,2890,3450,4050,4030,4110,4090,3820,4230,4530,4760,4320,4710,4940,4890,5050,4290,4030,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBRMSETOW,Red seabream Inland Sea of Japan (West),8380,8740,8560,8540,8740,8650,8780,9520,9760,9790,9770,9440,9380,8970,8650,8510,8440,8410,8620,NA,NA,NA,NA,NA,NA,NA,NA,NA
RDSHRMPMEDGSA1,Red shrimp Northern Alboran Sea,NA,NA,NA,NA,NA,NA,NA,1010.48,1165.64,1235.25,968.08,812.09,779.67,620.06,551.03,554.16,582.49,667.94,693.65,760.11,595.92,530.77,511.37,551.34,621.71,692.85,717.37,NA
REDDEEPI-II,Deepwater redfish North-East Arctic,527000,652000,698000,771000,888000,868000,861000,909000,980000,1050000,1050000,1070000,1030000,1040000,1070000,1040000,1120000,1150000,1080000,1200000,1240000,1260000,NA,NA,NA,NA,NA,NA
REDFEAUS,Redfish Eastern Australia,8960,8640,7860,6740,5280,4330,4080,3850,3370,2980,2640,2170,1860,1650,1510,1380,1280,1300,1420,1650,1910,2250,NA,NA,NA,NA,NA,NA
REDFISHSPP3LN,Redfish species N and SW Grand Banks,58700,74100,94000,116000,139000,161000,182000,202000,219000,233000,246000,255000,262000,267000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REDFISHSPP3M,Redfish species Flemish Cap,73000,100000,84000,60000,82000,118000,64000,107000,50000,157000,302000,485000,386000,308000,286000,164000,168000,251000,188000,143000,NA,NA,NA,NA,NA,NA,NA,NA
REXSOLEGA,Rex sole Gulf of Alaska,42488,39874,36036,33813,32147,30893,30514,32193,35247,38519,42724,45726,47084,48232,49560,49667,49603,48467,46191,42728,41418,43731,NA,NA,NA,NA,NA,NA
REXSOLEPCOAST,Rex sole Pacific Coast,8640,9480,10200,12100,13300,14200,14400,14700,15100,15800,15700,16200,16300,16700,16800,17500,18500,18600,18500,NA,NA,NA,NA,NA,NA,NA,NA,NA
REYEROCKBSAI,Rougheye rockfish Bering Sea and Aleutian Islands,12700,12800,12300,11800,11800,11900,13300,13900,15100,16400,18400,20300,22200,24200,26800,29000,31300,33700,36000,38200,40400,NA,NA,NA,NA,NA,NA,NA
REYEROCKGA,Rougheye rockfish Gulf of Alaska,40200,40200,40300,40500,40500,40900,41700,41700,42300,42900,43900,44500,44900,45200,45400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGROUPGM,Red grouper Gulf of Mexico,22900,23300,24200,24800,28900,31300,33900,37700,39900,42700,43500,26700,29100,33100,36700,40800,44700,46400,46500,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGROUPSATL,Red grouper South Atlantic,1530,1840,1920,1880,1830,1850,1890,1990,2100,2440,2800,3070,3120,3000,2760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RHERRTSST,Round herring Tsushima Strait,74504,56969,67452,51600,33661,30830,36063,42097,24713,38719,36699,52180,63107,48946,72404,79585,95695,95823,116225,83878,142970,132810,90706,76901,NA,NA,NA,NA
RKCRABBB,Red king crab Bristol Bay,24500,22700,21000,23900,27900,28400,28800,32700,32300,30000,30700,31100,26300,25300,26500,26100,25900,24500,23700,22200,19800,17200,14800,13600,14200,14900,NA,NA
RKCRABPI,Red king crab Pribilof Islands,2930,2540,2170,4250,8290,9280,9280,8600,7670,6690,5820,5120,4550,4250,3950,3510,3040,2640,2350,2080,1810,1600,1450,2530,4890,5370,NA,NA
RMULLMEDGSA6,Red mullet Northern Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,2470.4,3252,3254.7,3006.9,2088.1,2126.5,2219.2,2459.5,2838.8,3202.6,3474.1,3576.8,3412.3,3432.6,3506.8,3312.2,2986.5,3005.7,NA
RPORGYSATLC,Red porgy Southern Atlantic coast,1190,1110,1040,990,972,1070,1260,1440,1610,1800,1960,2130,2200,2140,2040,2010,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RROCKLOBSTERCRA1,Red rock lobster New Zealand Area CRA1,554,627,620,606,592,598,614,618,629,682,749,845,912,925,893,855,863,871,856,851,NA,NA,NA,NA,NA,NA,NA,NA
RROCKLOBSTERCRA2,Red rock lobster New Zealand Area CRA2,589,798,889,837,691,531,428,332,325,366,379,411,439,405,369,326,295,329,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
RROCKLOBSTERCRA3,Red rock lobster New Zealand Area CRA3,2820,3160,3230,3300,2850,2580,2340,2040,1720,1560,1570,1600,1640,1820,2080,2470,2690,2850,2900,2840,NA,NA,NA,NA,NA,NA,NA,NA
RROCKLOBSTERCRA4,Red rock lobster New Zealand Area CRA4,780,1010,1260,1390,1340,1170,1050,1010,945,807,638,534,531,626,757,864,863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RROCKLOBSTERCRA5,Red rock lobster New Zealand Area CRA5,2790,3270,3630,3960,4350,4640,4910,5310,5610,6100,6340,6280,6180,6010,5900,5830,5680,5520,5330,5190,5050,NA,NA,NA,NA,NA,NA,NA
RROCKLOBSTERCRA7,Red rock lobster New Zealand Area CRA7,189,159,123,164,125,170,251,326,356,443,589,779,644,802,588,463,392,417,624,959,962,NA,NA,NA,NA,NA,NA,NA
RROCKLOBSTERCRA8,Red rock lobster New Zealand Area CRA8,902,878,802,759,763,818,841,1030,1370,1760,2220,2730,3150,3470,3480,3430,3260,3120,2970,2730,2630,NA,NA,NA,NA,NA,NA,NA
RROCKLOBSTERSAUSNZ,Rock lobster South Australia Northern Zone,2790,2780,2840,2950,2900,2490,2190,2090,1820,1730,1690,1770,1530,1410,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RROCKLOBSTERSAUSSZ,Rock lobster South Australia Southern Zone,2850,2550,2660,3140,3960,4250,4740,5120,4640,4710,4190,3830,3020,2030,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSFLOUNSOJ,Round nose flounder Sea of Japan,5230,4990,4390,4140,4580,5010,5460,5350,4770,4270,4530,4500,4460,4490,4090,3650,3260,2990,2740,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSHRMPMEDGSA1,Deep water rose shrimp Northern Alboran Sea,NA,NA,NA,NA,NA,NA,NA,NA,817,486,365,657,806,1300,1450,1090,1210,1070,704,622,701,NA,NA,NA,NA,NA,NA,NA
RSHRMPMEDGSA9-11,Deep water rose shrimp Geographical Sub-Areas 9-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5570,3670,4250,4210,5160,5080,5530,5690,5040,5390,NA,NA,NA,NA,NA,NA,NA
RSNAPGM,Red snapper Gulf of Mexico,20000,20800,21900,22000,23700,24200,24200,24800,25200,26700,27500,30100,32800,35200,41200,46700,53900,59700,64100,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSNAPSATLC,Red snapper Southern Atlantic coast,970,981,1070,972,1250,1440,1560,1650,1680,1760,1640,1710,2090,2230,1950,1430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSOLEGA,Rock sole Gulf of Alaska,190000,181000,173000,167000,164000,165000,169000,176000,182000,187000,191000,195000,197000,198000,196000,190000,183000,174000,167000,160000,156000,NA,NA,NA,NA,NA,NA,NA
RSOLEHSTR,Rock sole Hecate Strait,8280,6850,5690,4850,6850,5690,4850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSQLOBSTERCSCH,Red squat lobster Central-Southern Chile,97300,84500,69100,53400,34600,16900,5810,9150,15100,25500,47900,75500,98400,110000,109000,99000,84700,68300,52300,37100,24400,NA,NA,NA,NA,NA,NA,NA
RSQLOBSTERNCH,Red squat lobster Northern Chile,NA,NA,NA,6450,7170,8060,7370,7780,6300,6480,8200,9900,12400,13700,13900,13300,12600,11300,8980,7580,7010,NA,NA,NA,NA,NA,NA,NA
RSROCKBCWN,Redstripe rockfish British Columbia Waters North,4965.0054,4523.109,4183.1504,3911.142,3656.1343,3554.0146,3434.8945,3264.7598,2873.8516,2754.7183,3569.901,5591.1997,6389.4077,6066.424,5794.4546,5760.22,6371.5776,7237.7617,7696.1797,7712.999,7627.776,7593.6455,7610.4126,7455,NA,NA,NA,NA
RSROCKBCWS,Redstripe rockfish British Columbia Waters South,20392.639,19486.389,18750.12,18183.875,17164.373,16031.235,14614.78,13198.022,11838.344,10478.577,9798.954,9176.063,9573.623,10311.276,12296.139,14224.312,16152.397,16719.982,16777.32,16211.206,15871.805,15305.604,15306.382,15665,NA,NA,NA,NA
SAABALONESA,South African abalone South Africa,17700,16800,16000,15100,14400,14100,13600,13100,11500,10700,9670,9310,8860,8750,8920,9080,7440,7040,7150,6930,6210,NA,NA,NA,NA,NA,NA,NA
SABLEFEBSAIGA,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,275000,257000,253000,238000,249000,259000,259000,290000,295000,299000,291000,285000,275000,266000,256000,259000,251000,243000,226000,208000,202000,NA,NA,NA,NA,NA,NA,NA
SABLEFPCAN,Sablefish Pacific Coast of Canada,80121.57084,76646.16998,73171.90562,69697.64126,66914.82029,64130.86282,64113.8154,63405.32459,63388.27717,63371.22975,61278.71567,58495.8947,55021.63034,50855.92259,50147.43178,48746.36109,48037.87028,47329.37947,45929.44527,46603.84124,46585.65732,47951.49668,54157.43975,67277.8167,80397.05716,89368.77379,99031.9338,NA
SABLEFPCOAST,Sablefish Pacific Coast,269000,259000,246000,239000,244000,230000,216000,207000,224000,236000,240000,234000,222000,214000,199000,183000,168000,178000,169000,173000,168000,NA,NA,NA,NA,NA,NA,NA
SAILEATL,Sailfish Eastern Atlantic,7990,7870,7290,7620,7970,8220,8610,8710,8260,7290,6190,4990,4290,3620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAILWATL,Sailfish Western Atlantic,23200,22600,22100,21600,21000,20300,19500,18700,17400,16600,15800,15000,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SARDMEDGSA16,Sardine South of Sicily,NA,NA,NA,NA,NA,NA,NA,NA,7598.57,9056.45,10171.76,9941.54,8522.07,7087.4,6510.96,7009.85,8130.25,8658.84,7681.56,5769.37,4112.39,3254.09,3053.7,3051,2713.02,1935.68,1103.36,NA
SARDMEDGSA17-18,"Sardine Adriatic Sea (GSA 17,18)",584000,492000,392000,335000,294000,292000,314000,334000,327000,330000,328000,337000,371000,404000,421000,433000,451000,484000,532000,540000,573000,NA,NA,NA,NA,NA,NA,NA
SARDMEDGSA6,European pilchard Northern Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,96760.78,102094.23,74504.03,48743.11,29870.35,25046.12,23087.55,26890.37,30576.14,32470.11,29297.95,31131.91,27596.35,20788.33,21099.76,16287.87,14896.43,14411.86,NA
SARDMEDGSA7,Sardine Gulf of Lions,83900,51600,27100,52400,77800,65600,70800,124000,51600,110000,231000,83900,56800,86500,58600,42000,28500,115000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SARDNWAZAB,Sardine North West Africa Zone A+B,464000,369000,521000,708000,955000,1370000,1220000,1120000,1000000,1280000,951000,200000,1340000,681000,1250000,95500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
